Date,S,I,R,D,p_SI,p_IR,p_ID
2022-04-12,259150162,67975,5811666,155717,5.6145054618951e-06,0.048341301949246046,0.0006325855093784479
2022-04-13,259148611,66475,5814688,155746,5.984982879186646e-06,0.045460699511094396,0.0004362542309138774
2022-04-14,259147778,64044,5817904,155794,3.214382181582896e-06,0.050215476859658985,0.0007494847292486415
2022-04-15,259146856,62665,5820179,155820,3.557828230028768e-06,0.0363041570254528,0.00041490465171946064
2022-04-16,259146254,60475,5822947,155844,2.3230125487362824e-06,0.04577097974369574,0.0003968582058701943
2022-04-17,259145647,58278,5825729,155866,2.342312159308622e-06,0.04773671025086654,0.00037750094375235937
2022-04-18,259145088,50969,5833560,155903,2.157092786570587e-06,0.15364241009240912,0.0007259314485275364
2022-04-19,259144251,49022,5836310,155937,3.229861348535183e-06,0.05609726245359226,0.0006935661539716862
2022-04-20,259143510,45091,5840945,155974,2.859419477647733e-06,0.10279213146747689,0.0008205628617684238
2022-04-21,259142925,31219,5855361,156015,2.2574415257526323e-06,0.461770075915308,0.0013133027963740031
2022-04-22,259142274,21037,5866169,156040,2.5121335471494703e-06,0.5137614678899083,0.0011883823739126302
2022-04-23,259141752,19450,5868251,156067,2.0143415561997125e-06,0.10704370179948586,0.0013881748071979435
2022-04-24,259141370,17631,5870419,156100,1.4740988673479654e-06,0.12296523169417503,0.0018717032499574614
2022-04-25,259141053,13251,5875083,156133,1.2232720224379115e-06,0.35197343596709685,0.002490378084672855
2022-04-26,259140477,9739,5879141,156163,2.2227326532242203e-06,0.41667522332888385,0.003080398398192833
2022-04-27,259139860,9142,5880319,156199,2.3809536672590624e-06,0.12885583023408445,0.003937869175235178
2022-04-28,259139448,8365,5881490,156217,1.589877585908881e-06,0.13998804542737597,0.0021518230723251643
2022-04-29,259139053,8165,5882062,156240,1.5242781642796233e-06,0.07005511328842622,0.0028169014084507044
2022-04-30,259138724,7879,5882660,156257,1.269590260080157e-06,0.07589795659347633,0.002157634217540297
2022-05-01,259138480,7474,5883293,156273,9.415815049930061e-07,0.08469360449558469,0.0021407546160021407
2022-05-02,259138312,7257,5883664,156287,6.483024401270315e-07,0.05112305360341739,0.0019291718340912222
2022-05-03,259138205,6951,5884059,156305,4.1290708176357094e-07,0.056826355920011506,0.002589555459646094
2022-05-04,259138029,6845,5884325,156321,6.791747266087294e-07,0.03886048210372535,0.002337472607742878
2022-05-05,259137779,6631,5884770,156340,9.647377582872623e-07,0.06710903332830644,0.0028653295128939827
2022-05-06,259137534,6530,5885099,156357,9.454438969848343e-07,0.05038284839203675,0.0026033690658499235
2022-05-07,259137316,6427,5885406,156371,8.412528282881498e-07,0.04776723199004201,0.002178310253617551
2022-05-08,259137089,6192,5885858,156381,8.759842169871716e-07,0.07299741602067183,0.001614987080103359
2022-05-09,259136835,6078,5886211,156396,9.801771330579075e-07,0.05807831523527476,0.0024679170779861796
2022-05-10,259136379,5855,5886870,156416,1.759691177902891e-06,0.1125533731853117,0.0034158838599487617
2022-05-11,259135979,5331,5887786,156424,1.5435911352163105e-06,0.17182517351341212,0.0015006565372350403
2022-05-12,259135644,4867,5888571,156438,1.29275924696797e-06,0.16129032258064516,0.0028765153071707416
2022-05-13,259135309,4938,5888825,156448,1.2927609181966013e-06,0.051437829080599434,0.002025111381125962
2022-05-14,259135001,4825,5889241,156453,1.188569659873928e-06,0.08621761658031088,0.0010362694300518134
2022-05-15,259134744,4784,5889534,156458,9.917620309532865e-07,0.06124581939799331,0.0010451505016722408
2022-05-16,259134562,4697,5889797,156464,7.023378070270688e-07,0.05599318714072812,0.0012774111134766872
2022-05-17,259134315,3898,5890826,156481,9.531736466472995e-07,0.2639815289892252,0.004361210877373012
2022-05-18,259133988,3844,5891190,156498,1.2618954484658338e-06,0.09469302809573361,0.004422476586888657
2022-05-19,259133670,3766,5891574,156510,1.227165887011132e-06,0.10196494954859267,0.003186404673393521
2022-05-20,259133420,3715,5891872,156513,9.647539865757184e-07,0.08021534320323015,0.0008075370121130552
2022-05-21,259133157,3718,5892126,156519,1.014922223943731e-06,0.06831629908552986,0.0016137708445400753
2022-05-22,259132930,3657,5892411,156522,8.759982762514977e-07,0.07793273174733388,0.0008203445447087777
